"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 24 23:09:13 MSK 2024","Tue Sep 24 23:09:24 MSK 2024","11048","","ConstructorTest","","ConstructorTest","constructorTest[2]","Тест на переход к разделу с ингредиентами на странице Конструктора",""
"failed","Tue Sep 24 23:10:45 MSK 2024","Tue Sep 24 23:10:58 MSK 2024","12282","","RegisterTest","","RegisterTest","registerNewUserTest[1]","Тест на регистрацию нового пользователя",""
"passed","Tue Sep 24 23:09:24 MSK 2024","Tue Sep 24 23:09:46 MSK 2024","22345","","LogoutTest","","LogoutTest","logoutButtonTest","Тест логаута пользователя по кнопке из личного кабинета",""
"passed","Tue Sep 24 23:09:01 MSK 2024","Tue Sep 24 23:09:13 MSK 2024","11319","","ConstructorTest","","ConstructorTest","constructorTest[1]","Тест на переход к разделу с ингредиентами на странице Конструктора",""
"failed","Tue Sep 24 23:07:34 MSK 2024","Tue Sep 24 23:07:50 MSK 2024","16043","","LoginTest","","LoginTest","authFromProfileButtonOnMain","Тест входа через кнопку «Личный кабинет»",""
"failed","Tue Sep 24 23:07:19 MSK 2024","Tue Sep 24 23:07:34 MSK 2024","15135","","LoginTest","","LoginTest","authFromLoginButtonOnForgot","Тест входа через кнопку в форме восстановления пароля",""
"passed","Tue Sep 24 23:10:09 MSK 2024","Tue Sep 24 23:10:31 MSK 2024","22561","","FromProfileToMainTest","","FromProfileToMainTest","logoButtonToMainTest","Тест перехода на главную по кнопке логотипа",""
"failed","Tue Sep 24 23:07:50 MSK 2024","Tue Sep 24 23:08:06 MSK 2024","15810","","LoginTest","","LoginTest","authFromLoginButtonOnMain","Тест входа по кнопке «Войти в аккаунт» на главной",""
"passed","Tue Sep 24 23:06:49 MSK 2024","Tue Sep 24 23:07:19 MSK 2024","29712","","FromMainToProfileTest","","FromMainToProfileTest","fromMainToProfileTest","Тест перехода по клику на «Личный кабинет»",""
"passed","Tue Sep 24 23:09:46 MSK 2024","Tue Sep 24 23:10:08 MSK 2024","22345","","FromProfileToMainTest","","FromProfileToMainTest","constructorButtonToMainTest","Тест перехода на главную по кнопке 'Конструктор'",""
"passed","Tue Sep 24 23:10:31 MSK 2024","Tue Sep 24 23:10:45 MSK 2024","14179","","RegisterTest","","RegisterTest","registerNewUserTest[0]","Тест на регистрацию нового пользователя",""
"failed","Tue Sep 24 23:08:06 MSK 2024","Tue Sep 24 23:08:50 MSK 2024","43764","","LoginTest","","LoginTest","authFromLoginButtonOnRegister","Тест входа через кнопку в форме регистрации",""
"broken","Tue Sep 24 23:08:50 MSK 2024","Tue Sep 24 23:09:01 MSK 2024","11677","","ConstructorTest","","ConstructorTest","constructorTest[0]","Тест на переход к разделу с ингредиентами на странице Конструктора",""
